# of domain, cohortId1, cohortId2, diff
1 , 10913 , 1029 , 9884
2 , 1029 , 30306 , -29277
3 , 30306 , 8272 , 22034
4 , 853 , 18244 , -17391
5 , 16229 , 25416 , -9187
6 , 24726 , 25614 , -888
7 , 25415 , 16517 , 8898
8 , 24726 , 15379 , 9347
9 , 24454 , 24456 , -2
10 , 24454 , 24726 , -272
11 , 24454 , 15379 , 9075
12 , 15379 , 15379 , 0
13 , 24454 , 15628 , 8826
14 , 15379 , 15379 , 0
15 , 24453 , 15379 , 9074
16 , 15379 , 15379 , 0
17 , 15609 , 15379 , 230
18 , 15379 , 15379 , 0
19 , 17182 , 17459 , -277
20 , 15379 , 15379 , 0
21 , 17182 , 17182 , 0
22 , 17182 , 15379 , 1803
23 , 17325 , 17325 , 0
24 , 17325 , 17182 , 143
25 , 17324 , 17324 , 0
26 , 17324 , 15508 , 1816
27 , 17300 , 17300 , 0
28 , 17300 , 17324 , -24
29 , 17325 , 17300 , 25
30 , 17300 , 17157 , 143
31 , 17157 , 17300 , -143
32 , 17300 , 17300 , 0
33 , 17157 , 17300 , -143
34 , 17300 , 17157 , 143
35 , 17157 , 17157 , 0
36 , 17300 , 17300 , 0
37 , 17300 , 17300 , 0
38 , 17300 , 17300 , 0
39 , 17157 , 17157 , 0
40 , 17157 , 17157 , 0
41 , 17157 , 17157 , 0
42 , 17157 , 17300 , -143
43 , 17182 , 17182 , 0
44 , 17182 , 17182 , 0
45 , 17182 , 17182 , 0
46 , 17182 , 17182 , 0
47 , 17182 , 17182 , 0
48 , 17182 , 17182 , 0
49 , 17182 , 17182 , 0
50 , 17157 , 17182 , -25
51 , 17182 , 16661 , 521
52 , 16634 , 16661 , -27
53 , 16660 , 17157 , -497
54 , 16660 , 16660 , 0
55 , 16660 , 16660 , 0
56 , 16660 , 16660 , 0
57 , 16660 , 16660 , 0
58 , 16660 , 16660 , 0
59 , 16660 , 16660 , 0
60 , 16660 , 16660 , 0
61 , 16660 , 16660 , 0
62 , 16660 , 16660 , 0
63 , 16660 , 16660 , 0
64 , 16660 , 16660 , 0
65 , 16660 , 16660 , 0
66 , 16660 , 16660 , 0
67 , 16660 , 16660 , 0
68 , 16660 , 16660 , 0
69 , 17721 , 17721 , 0
70 , 16660 , 16660 , 0
71 , 16660 , 17721 , -1061
72 , 17721 , 17721 , 0
73 , 16660 , 17721 , -1061
74 , 17721 , 17721 , 0
75 , 17721 , 17721 , 0
76 , 17721 , 17721 , 0
77 , 17721 , 17721 , 0
78 , 17721 , 17721 , 0
79 , 17721 , 17721 , 0
80 , 17721 , 17721 , 0
81 , 17721 , 17721 , 0
82 , 17721 , 17721 , 0
83 , 17721 , 17721 , 0
84 , 17721 , 17721 , 0
85 , 17721 , 17721 , 0
86 , 17721 , 17701 , 20
87 , 17721 , 17721 , 0
88 , 17721 , 17721 , 0
89 , 17721 , 17721 , 0
90 , 17701 , 17721 , -20
91 , 17721 , 17721 , 0
92 , 17701 , 17721 , -20
93 , 17721 , 17721 , 0
94 , 17721 , 17701 , 20
95 , 17701 , 17701 , 0
96 , 17721 , 17721 , 0
97 , 17721 , 17721 , 0
98 , 17721 , 17721 , 0
99 , 17721 , 17721 , 0
100 , 17721 , 17721 , 0
101 , 17721 , 17721 , 0
102 , 17721 , 17721 , 0
103 , 17721 , 17721 , 0
104 , 17721 , 17721 , 0
105 , 17721 , 17721 , 0
106 , 17701 , 17721 , -20
107 , 17721 , 17721 , 0
108 , 17721 , 17701 , 20
109 , 17701 , 17701 , 0
110 , 17721 , 17721 , 0
111 , 17721 , 17701 , 20
112 , 17701 , 17721 , -20
113 , 17721 , 17701 , 20
114 , 17701 , 17701 , 0
115 , 17701 , 17721 , -20
116 , 17721 , 17701 , 20
117 , 17701 , 17701 , 0
118 , 17721 , 17721 , 0
119 , 17701 , 17701 , 0
120 , 17701 , 17701 , 0
121 , 17701 , 17701 , 0
122 , 17701 , 17701 , 0
123 , 17701 , 17701 , 0
124 , 17701 , 17701 , 0
125 , 17701 , 17701 , 0
126 , 17701 , 17721 , -20
127 , 17701 , 17701 , 0
128 , 17701 , 17701 , 0
129 , 17701 , 17701 , 0
130 , 17701 , 17701 , 0
131 , 17701 , 17701 , 0
132 , 17701 , 17701 , 0
133 , 17701 , 17701 , 0
134 , 17701 , 17701 , 0
135 , 17701 , 17701 , 0
136 , 17701 , 17901 , -200
137 , 17901 , 17701 , 200
138 , 17701 , 17701 , 0
139 , 17901 , 17701 , 200
140 , 17701 , 17701 , 0
141 , 17901 , 17701 , 200
142 , 17701 , 17701 , 0
143 , 17701 , 17701 , 0
144 , 17701 , 17701 , 0
145 , 17721 , 17721 , 0
146 , 17721 , 17701 , 20
147 , 17701 , 17721 , -20
148 , 17721 , 17721 , 0
149 , 17721 , 17721 , 0
150 , 17721 , 17721 , 0
151 , 17721 , 17721 , 0
152 , 17920 , 17721 , 199
153 , 17721 , 17920 , -199
154 , 17920 , 17920 , 0
155 , 17721 , 17701 , 20
156 , 17701 , 17721 , -20
157 , 17721 , 17920 , -199
158 , 17701 , 17701 , 0
159 , 17701 , 17701 , 0
160 , 17701 , 17721 , -20
161 , 17721 , 17721 , 0
162 , 17701 , 17701 , 0
163 , 17701 , 17701 , 0
164 , 17701 , 17721 , -20
165 , 17701 , 17701 , 0
166 , 17701 , 17701 , 0
167 , 17701 , 17721 , -20
168 , 17721 , 17701 , 20
169 , 17701 , 17721 , -20
170 , 17721 , 17701 , 20
171 , 17701 , 17721 , -20
172 , 17721 , 17721 , 0
173 , 17721 , 17721 , 0
174 , 17721 , 17721 , 0
175 , 17721 , 17721 , 0
176 , 17721 , 17701 , 20
